Key;Item Type;Publication Year;Author;Title;Publication Title;ISSN;DOI;Abstract Note;Pages;Issue;Volume;Language;Manual Tags
LTA8YCC6;journalArticle;2024;"Huang, XD; Qiao, CC";Enhancing Computational Thinking Skills Through Artificial Intelligence Education at a STEAM High School;SCIENCE & EDUCATION;0926-7220;10.1007/s11191-022-00392-6;Artificial intelligence is the unification of philosophy, cognitive science, mathematics, neurophysiology, psychology, computer science, information theory, cybernetics, and uncertainty theory. Therefore, it is feasible and necessary to utilize STEAM (Science, Technology, Engineering, Liberal Arts, and Mathematics) education to learn artificial intelligence courses. Computational thinking skills are of vital importance to high school students. This paper integrates artificial intelligence education with STEAM model with the aim of enhancing students' computational thinking skills. First, we investigate the feasibility of this model and set teaching objectives about artificial intelligence curricula. Second, artificial intelligence curricula with STEAM model is proposed to carry out interdisciplinary artificial intelligence knowledge acquisition. Finally, the effects of this model on students' computational thinking skills, learning motivation, and self-efficacy are evaluated. One hundred thirty-six participants are recruited from a high school in Beijing. The results reveal that the integration of artificial intelligence education with STEAM is able to promote computational thinking skills, learning motivation, and self-efficacy of the students in the experimental group. The main implication of this study is that artificial intelligence education in light of STEAM model can be used as a teaching guide for the combination of artificial intelligence curricula with multi-disciplinary knowledge at the primary and secondary levels.;383-403;2;33;English;"STUDENTS; Artificial Intelligence; Foreign Countries; High School Students; Thinking Skills; Computer Science Education; Teaching Methods; Self Efficacy; Interdisciplinary Approach; STEM Education; Learning Motivation; Art Education; China (Beijing)"
MMR9AFK4;journalArticle;2025;"Lin, YR; Yang, YQ; Zhang, Y";Scaffolding third graders' computational thinking in an artificial intelligence course: Concepts, practice, and perspectives;EDUCATIONAL TECHNOLOGY & SOCIETY;1176-3647;10.30191/ETS.202510_28(4).SP09;Scaffolding type and timing are key factors in designing strategies to develop students' computational thinking (CT). Although these factors have been studied separately, their combined effects remain underexplored. To address this gap, a 2x2 factorial experiment was conducted in this study to examine the effect of scaffolding type (conceptual versus problem-solving) and timing (immediate versus delayed) on CT concepts, practices, and perspectives. A total of 136 third graders from four classes were assigned to four experimental conditions: delayed conceptual scaffolding, immediate conceptual scaffolding, immediate problem-solving scaffolding, and delayed problem-solving scaffolding. The study was conducted over 6 weeks using the machine learning unit of an artificial intelligence (AI) course. The results, as measured by knowledge tests and final worksheets, showed that problem-solving scaffolding and immediate scaffolding were more effective in developing students' CT concepts than conceptual scaffolding and delayed scaffolding. Lag sequential analysis indicated that students guided by problem-solving scaffolding and delayed scaffolding developed more complete problem-solving paths and achieved higher levels of CT practice. Additionally, an analysis of students' learning reflections revealed that most students could explain the functions of machine learning techniques. However, students guided by problem-solving scaffolding and immediate scaffolding were better at understanding and reflecting on the problem-solving process. These findings provide valuable insights for researchers and practical guidance for teachers. By highlighting effective scaffolding methods and their timing, this study advances CT education and helps prepare students for a technology-driven world.;338-367;4;28;English;"Artificial intelligence; Computational thinking; Elementary education; INQUIRY; LEARNERS; Scaffolding; SCIENCE; Timing of scaffolding"
XWAUCX7U;journalArticle;2025;"Al Husaeni, DF; Widiaty, I; Mulyanti, B; Gafar Abdullah, A; Septem Riza, L; Suherman, A; Al Husaeni, DN";Trends and Impacts of Artificial Intelligence Application in the Development of Computational Thinking Skills;INFORMATICS IN EDUCATION;1648-5831;10.15388/infedu.2025.14;This study aims to provide a descriptive and bibliometric analysis of the trend of artificial intelligence (AI) application in the development of computational thinking (CT) skills in publications from 2007 to 2024. A total of 191 articles were obtained from Scopus database with certain keywords, and analyzed using Biblioshiny and VOSviewer. The results show that publications fluctuated in 2007-2014, then increased sharply since 2019, with a compound annual growth rate (CAGR) of 22.8% in the period 2019-2024. Early publications received the highest number of citations, such as in 2007 (18 citations), while recent studies show a more even distribution of citations, reflecting a shift from basic to applied research. This analysis highlights the important role of AI in enhancing CT development through learning strategies, educational technology, and cross-disciplines. The impact of AI implementation is seen in various aspects of education, such as learning strategies, educational media, and the relationship between CT and other skills. These findings demonstrate the importance of leveraging AI to support the development of CT in education, which can improve the quality of learning and enrich educational experiences globally.;261-298;2;24;English;"Computational Thinking; Bibliometric analysis; EDUCATION; Artificial Intelligence; Biblioshiny Package; Education; PREDICTION; R Programming; Thematic analysis; Kindergarten; Learning Strategies; Thinking Skills; Bibliometrics; Citation Analysis; Computer Science Education; Computer Software; Elementary Secondary Education; Higher Education; Information Retrieval; Programming Languages; Research Reports; Teaching Methods; Technology Integration; Trend Analysis"
LGBD6SPW;journalArticle;2025;Silva, JCE;Computational thinking versus artificial intelligence in mathematics teaching;INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY;0020-739X;10.1080/0020739X.2025.2496695;The use of technologies in mathematics education at all levels has been discussed extensively for a number of years. It is one of the few themes that was the object of two ICMI studies, the most recent being published in 2010. Two new approaches, emerging lately in the teaching and learning of Mathematics at all levels, will be discussed: Computational Thinking (CT) and Artificial Intelligence (AI). I will discuss both in comparison, arguing they are very different and can even induce very different directions to Mathematics Education. Considering the CT approach as a variation on the theme of Problem Solving puts it as a skill that is as fundamental as numeracy. AI is also connected to problem solving as an emulator of human problem-solving approaches. Inappropriate use of AI has been considered problematic, being called a 'stochastic parrot'. I will try here to compare CT and AI using Curriculum Analysis: which are the educational purposes, which relevant experiences can we point out, how can these be implemented in school, how are they effective. I will argue that CT is important in introducing an 'algorithmic dimension of mathematics' in Mathematics Teaching and that AI in its present form as Generative AI is not adequate to develop concepts of mathematical literacy. I will show how the 'algorithmic dimension of mathematics' can be implemented in school with the example of the curricular options that were made in the new curriculum for Mathematics in Portugal.;1426-1437;8;56;English;"artificial intelligence; Computational thinking; Artificial Intelligence; mathematics teaching; Computation; Foreign Countries; Problem Solving; Thinking Skills; Teaching Methods; Mathematics Instruction; Mathematics Skills; Instructional Effectiveness; Algorithms; Technology Uses in Education; Comparative Analysis; Curriculum Evaluation; Mathematics Curriculum; National Curriculum; Numeracy; Portugal"
WZK5EN97;journalArticle;2025;"Zhao, G; Yang, LJ; Hu, BL; Wang, J";A Generative Artificial Intelligence (AI)-Based Human-Computer Collaborative Programming Learning Method to Improve Computational Thinking, Learning Attitudes, and Learning Achievement;JOURNAL OF EDUCATIONAL COMPUTING RESEARCH;0735-6331;10.1177/07356331251336154;Human-computer collaboration is an effective way to learn programming courses. However, most existing human-computer collaborative programming learning is supported by traditional computers with a relatively low level of personalized interaction, which greatly limits the efficiency of students' efficiency of programming learning and development of computational thinking. To address the above issues, this study introduces generative AI into human-computer collaborative programming learning and proposes a dialogue-negotiated human-computer collaborative programming learning method based on generative AI. The method focuses on the problems-solving process and constructs multiple agents through Prompt design, which enable students to improve their computational thinking and master programming skills in the process of human-computer interaction for problem-solving. Finally, a quasi-experiment was conducted to verify the effectiveness of the proposed method in a 10th grade computer programming course in a high school. 43 students in the experimental group learned with the proposed method, while 42 students in the control group adopted the traditional computer-supported human-computer collaborative programming learning method. The experimental results showed that the proposed method more significantly improved students' computational thinking, programming learning attitudes, and learning achievement. This study provides theoretical foundations and application reference for future generative AI-assisted human-computer collaborative teaching.;1059-1087;5;63;English;"computational thinking; STUDENTS; SCIENCE; Artificial Intelligence; computer programming; generative artificial intelligence; human-computer collaborative learning; MODEL; Programming; Academic Achievement; China; Computation; Cooperative Learning; Foreign Countries; Grade 10; High School Students; Interaction; Learning Strategies; Man Machine Systems; Problem Solving; Prompting; Skill Development; Student Attitudes; Thinking Skills"
KHMAZ9E2;journalArticle;2022;"Dohn, NB; Kafai, Y; Morch, A; Ragni, M";Survey: Artificial Intelligence, Computational Thinking and Learning;KUNSTLICHE INTELLIGENZ;0933-1875;10.1007/s13218-021-00751-5;Learning is central to both artificial intelligence and human intelligence, the former focused on understanding how machines learn, the latter concerned with how humans learn. With the growing relevance of computational thinking, these two efforts have become more closely connected. This survey examines these connections and points to the need for educating the general public to understand the challenges which the increasing integration of AI in human lives pose. We describe three different framings of computational thinking: cognitive, situated, and critical. Each framing offers valuable, but different insights into what computational thinking can and should be. The differences between the three framings also concern the views of learning that they embody. We combine the three framings into one framework which emphasizes that (1) computational thinking activities involve engagement with algorithmic processes, and (2) the mere use of a digital artifact for an activity is not sufficient to count as computational thinking. We further present a set of approaches to learning computational thinking. We argue for the significance of computational thinking as regards artificial intelligence on three counts: (i) Human developers use computational thinking to create and develop artificial intelligence systems, (ii) understanding how humans learn can enrich artificial intelligence systems, and (iii) such enriched systems will be explainable. We conclude with an introduction of the articles included in the Special Issue, focusing on how they call upon and develop the themes of this survey.;May.16;1;36;English;"Artificial intelligence; Computational thinking; K-12; Framework for computational thinking; Learning; LITERACY; Problem-solving"
UDPL5NH9;journalArticle;2022;"Wang, CJ; Zhong, HX; Chiu, PS; Chang, JH; Wu, PH";Research on the Impacts of Cognitive Style and Computational Thinking on College Students in a Visual Artificial Intelligence Course;FRONTIERS IN PSYCHOLOGY;1664-1078;10.3389/fpsyg.2022.864416;"Visual programming language is a crucial part of learning programming. On this basis, it is essential to use visual programming to lower the learning threshold for students to learn about artificial intelligence (AI) to meet current demands in higher education. Therefore, a 3-h AI course with an RGB-to-HSL learning task was implemented; the results of which were used to analyze university students from two different disciplines. Valid data were collected for 65 students (55 men, 10 women) in the Science (Sci)-student group and 39 students (20 men, 19 women) in the Humanities (Hum)-student group. Independent sample t-tests were conducted to analyze the difference between cognitive styles and computational thinking. No significant differences in either cognitive style or computational thinking ability were found after the AI course, indicating that taking visual AI courses lowers the learning threshold for students and makes it possible for them to take more difficult AI courses, which in turn effectively helping them acquire AI knowledge, which is crucial for cultivating talent in the field of AI.";;;13;English;"artificial intelligence; computational thinking; PERFORMANCE; EDUCATION; K-12; cognitive style; higher education; visual programming language"
KH5K8DYW;book;2022;Heintz, F;THE COMPUTATIONAL THINKING AND ARTIFICIAL INTELLIGENCE DUALITY;;;;;;;;English;
PCNXREYK;journalArticle;2020;"Rodr’guez-Garc’a, JD; Moreno-Le—n, J; Rom‡n-Gonz‡lez, M; Robles, G";LearningML: A Tool to Foster Computational Thinking Skills Through Practical Artificial Intelligence Projects;RED-REVISTA DE EDUCACION A DISTANCIA;1578-7680;10.6018/red.410121;The use of Artificial Intelligence (AI) offers new and thriving opportunities, but introduces also new risks and ethical issues that should be dealt with. We argue that the introduction of AI contents at schools through practical, hands-on, projects is the way to go to educate conscientious and critical citizens of the future, to awaken vocations among youth people, as well as to foster students' computational thinking skills. However, most existing programming platforms for education lack some of the required educational features to develop a complete understanding of AI. In this paper we present LearningML, a new platform aimed at learning supervised Machine Learning (ML), one of the most successful AI techniques that is in the basis of almost every current AI application. This work describes the main functionalities of the tool and discusses some decisions taken during its design. For its conception, we have taken into account lessons learned from the research literature on introducing AI in school and from the analysis of other educational tools built with the aim to allow learners to use ML. We offer as well some promising results obtained after a preliminary testing pilot workshop. Finally, the next steps in the development of LearningML are presented, focused on the face and instructional validation of the tool.;;63;20;English;"Computational Thinking; Educational Tools; Learning by doing; Machine Learning"
2TX4I7DZ;journalArticle;2024;"Demartini, CG; Sciascia, L; Bosso, A; Manuri, F";Artificial Intelligence Bringing Improvements to Adaptive Learning in Education: A Case Study;SUSTAINABILITY;2071-1050;10.3390/su16031347;"Despite promising outcomes in higher education, the widespread adoption of learning analytics remains elusive in various educational settings, with primary and secondary schools displaying considerable reluctance to embrace these tools. This hesitancy poses a significant obstacle, particularly given the prevalence of educational technology and the abundance of data generated in these environments. In contrast to higher education institutions that readily integrate learning analytics tools into their educational governance, high schools often harbor skepticism regarding the tools' impact and returns. To overcome these challenges, this work aims to harness learning analytics to address critical areas, such as school dropout rates, the need to foster student collaboration, improving argumentation and writing skills, and the need to enhance computational thinking across all age groups. The goal is to empower teachers and decision makers with learning analytics tools that will equip them to identify learners in vulnerable or exceptional situations, enabling educational authorities to take suitable actions that are aligned with students' needs; this could potentially involve adapting learning processes and organizational structures to meet the needs of students. This work also seeks to evaluate the impact of such analytics tools on education within a multi-dimensional and scalable domain, ranging from individual learners to teachers and principals, and extending to broader governing bodies. The primary objective is articulated through the development of a user-friendly AI-based dashboard for learning. This prototype aims to provide robust support for teachers and principals who are dedicated to enhancing the education they provide within the intricate and multifaceted social domain of the school.";;3;16;English;"artificial intelligence; education; adaptive learning; dashboard; learning analytics; machine learning"
CCMWVXV9;journalArticle;2024;"Zhang, XL; Chen, YC; Hu, LL; Bao, YW; Tu, YF; Hwang, GJ";A metaphor-based robot programming approach to facilitating young children's computational thinking and positive learning behaviors;COMPUTERS & EDUCATION;0360-1315;10.1016/j.compedu.2024.105039;In the artificial intelligence age, cultivating young children's computational thinking (CT) has sparked tremendous attention. Programmable robotics is a developmental-appropriate and screen-free means that provides young children with great opportunities to learn programming and develop CT. However, it is reported that young children might have difficulties learning abstract CT concepts. As a helpful pedagogical facilitator, metaphors can help turn abstract concepts into more concrete and clear concepts that learners are familiar with. Therefore, this research proposed a metaphor-based robot programming (MRP) approach and explored its impact on young children's CT and behavioral patterns. A total of 118 children aged 5-6 were recruited in this experiment with two conditions: the experimental group adopted the metaphor-based robot programming (MRP) approach while the control group used the conventional robot programming (CRP) approach. Results revealed that children who adopted the MRP approach outperformed children who adopted the CRP approach on CT. In addition, behavioral analysis indicated that the proposed MRP approach could facilitate children's superior learning performance and more positive learning behaviors, so as to help them achieve learning objectives. Accordingly, this study can provide insightful guidance and inspiration for future research on effective programming teaching and CT development for young children.;;;215;English;"Computational thinking; STUDENTS; Early childhood education; Improving classroom teaching; Interactive learning environments; INTERVENTION; Metaphors; Pedagogical issues; Teaching/learning strategies"
TQW32SNB;journalArticle;2017;Gadanidis, G;Artificial intelligence, computational thinking, and mathematics education;INTERNATIONAL JOURNAL OF INFORMATION AND LEARNING TECHNOLOGY;2056-4880;10.1108/IJILT-09-2016-0048;Purpose - The purpose of this paper is to examine the intersection of artificial intelligence (AI), computational thinking (CT), and mathematics education (ME) for young students (K-8). Specifically, it focuses on three key elements that are common to AI, CT and ME: agency, modeling of phenomena and abstracting concepts beyond specific instances. Design/methodology/approach - The theoretical framework of this paper adopts a sociocultural perspective where knowledge is constructed in interactions with others (Vygotsky, 1978). Others also refers to themultiplicity of technologies that surround us, including both the digital artefacts of our new media world, and the human methods and specialized processes acting in the world. Technology is not simply a tool for human intention. It is an actor in the cognitive ecology of immersive humans-with-technology environments (Levy, 1993, 1998) that supports but also disrupts and reorganizes human thinking (Borba and Villarreal, 2005). Findings - There is fruitful overlap between AI, CT and ME that is of value to consider in mathematics education. Originality/value - Seeing ME through the lenses of other disciplines and recognizing that there is a significant overlap of key elements reinforces the importance of agency, modeling and abstraction in ME and provides new contexts and tools for incorporating them in classroom practice.;133-139;2;34;English;"Artificial intelligence; Computational thinking; Artificial Intelligence; Mathematics education; Computation; Technology Integration; Computer Uses in Education; Interdisciplinary Approach; Educational Technology; Mathematics Education; Elementary School Mathematics; Middle Schools"
